	synonyms	scores_gpt	scores_biogpt	un_normalized_score	normalized_score	un_normalized_diff_flat	normalized_diff_flat
0	['Birth defects', 'Congenital anomaly', 'Congenital anomaly, unspecified', 'Developmental disturbance', 'Fetal malformation']	[-1.4865236452162265, -5.253277336076809, -6.061135515438639, -2.6193493228462326, -3.862323108460405]	[-2.9290407915193373, -3.5714975002060876, -4.130255203414626, -4.925464913584108, -3.8919687886672025]	[0.5075121007260348, 1.4708892658537984, 1.4674966114509551, 0.5317973772632589, 0.9923828576701024]	[1.6185170999752205, 0.07116268944780864, 0.05547143370941553, 3.8386041736983803, 0.3940170460849786]	[1, 5, 5, 1, 4]	[4, 1, 1, 5, 2]
1	['Acquired immuno deficiency syndrome', 'Acquired immunodeficiency syndrome', 'AIDS', 'Acquired immune deficiency syndr', 'Autoimmune deficiency syndrome', 'Acquired immune deficiency syndrome', 'Acquired immunodeficiency syndrome, unspecified']	[-5.243592048663106, -3.2394590295197707, 5.815793338115327e-05, -4.676089705442157, -2.8843573103035336, -4.139861873503357, -4.017724535388505]	[-5.546275114072829, -3.2329651798814445, -3.1229206861581504, -5.055710820445646, -7.500841329006302, -4.249393705681864, -4.343961279980915]	[0.9454258832848536, 1.0020086358117115, -1.8622930015139053e-05, 0.9249124151903082, 0.38453783832881694, 0.9742241270720453, 0.924898790858043]	[0.14385670513513993, 0.1055981429963639, 2.4141764165647093, 0.15536166950048205, 10.749544431545445, 0.11858932424004949, 0.14728527907547087]	[4, 4, 1, 4, 1, 4, 4]	[1, 1, 5, 1, 5, 1, 1]
2	"['Acrodynia', 'Erythredema polyneuropathy', ""Feer's disease"", 'Swift disease', 'Disease pink', ""Bilderbeck's disease"", 'Swift-Feer disease', ""Selter's disease""]"	[-6.001439454085199, -5.0786646682169065, -6.192391860430352, -3.618302343494802, -4.463513160998999, -6.054348051279184, -6.359152655905976, -5.435648635912514]	[-6.6774625774856515, -9.768309093880902, -7.244702022362702, -7.257546357253879, -9.667760128654034, -7.587350713540059, -6.555766408703903, -7.402962802802688]	[0.8987604774185041, 0.5199123634814444, 0.8547476267920868, 0.4985572486048715, 0.4616905158589633, 0.7979528401758015, 0.9700090362376413, 0.7342531336041067]	[0.18235216902256204, 10.092633843102067, 0.2656625383517701, 3.530379680555109, 16.884708287982765, 0.42962784228212625, 0.11290315788623648, 0.6633023076073792]	[3, 1, 3, 1, 1, 3, 4, 2]	[1, 5, 2, 5, 5, 2, 1, 3]
3	['Hyperadrenocorticism', 'Adrenal cortex hyperfunction', 'Hypercorticism adrenal', 'Hypercortisonism', 'Hypercortisolism', 'Hypercortisolemia', 'Adrenal cortical hyperfunctions', 'Hyperadrenalism', 'Hypercorticoidism', 'Hyperadrenalcorticalism', 'Hyperadrenocorticalism']	[-3.7004483579238254, -4.734829893272601, -4.865271638971945, -5.361379668621743, -4.669570457390199, -4.1284542165187395, -4.303268967754506, -3.252197096452754, -4.723423768036381, -3.5813460132028827, -3.6736796513261005]	[-2.794249056349359, -3.6179101203281974, -4.794415822479785, -4.844318260364654, -2.568523814257149, -4.31715797423867, -4.390861887538472, -4.33766671830456, -4.236595815887983, -6.037433468508435, -5.219915684174442]	[1.3243087081000577, 1.3087196021450866, 1.0147788216783231, 1.1067356396642214, 1.8179977275159895, 0.9562898187080567, 0.9800510874567565, 0.749757256067825, 1.1149101715869865, 0.5931901414538758, 0.7037814159458234]	[0.5262073904288536, 0.42622822491197293, 1.213226839532432, 0.7765284702273237, 0.15930937586747754, 1.5727775457881674, 1.4215280090565519, 3.855917795229098, 0.8003641109716914, 15.18376691892501, 6.112742145688667]	[5, 5, 4, 4, 5, 4, 4, 2, 4, 2, 2]	[2, 2, 4, 3, 1, 4, 4, 5, 3, 5, 5]
4	['Alcoholism', 'Alcohol dependence syndrome', 'Alcohol abuse, continuous drinking behaviour', 'Dipsomania', 'Alcohol abuse chronic', 'Alcohol addiction', 'Chronic alcoholism']	[-0.41657085499231344, -2.7515666105246654, -4.532485965504962, -5.038117846064105, -2.8614870933419922, -1.9848717585585414, -1.6845479382924051]	[-5.2197834197593425, -4.830805166747794, -5.203289042914967, -9.483677581697648, -6.527058924949051, -5.888219366811079, -4.122574512178102]	[0.07980615697873522, 0.5695875771320087, 0.8710809505531119, 0.5312409455786501, 0.4384037475752264, 0.3370920196598418, 0.408615522488737]	[4.28659211259136, 0.2812582561653525, 0.06877482962518264, 2.997681656555403, 1.3741719131909356, 1.7430336661117225, 0.4026474342270973]	[1, 1, 3, 1, 1, 1, 1]	[5, 2, 1, 5, 4, 4, 2]
5	['Anginal discomfort', 'Angina', 'Angina pectoris', 'Anginal pain', 'Stenocardia', 'Anginal syndrome', 'Angina syndrome', 'Ischemic chest pain']	[-5.908141639471229, -1.9831314379858276, -5.206158085021076, -4.882875622676772, -5.516098124328502, -5.690457203959636, -5.11921973828894, -4.582157108630206]	[-7.2680391655173056, -4.572473782845, -5.855434430499267, -6.235179354003279, -6.713447352241787, -6.324948377828111, -4.44855441971108, -5.956880211246074]	[0.8128934785467292, 0.43371083841445673, 0.8891155979654902, 0.7831171078570075, 0.8216491222630262, 0.8996843711653582, 1.150760281948269, 0.7692209589810938]	[0.7293622364015704, 2.493930658030103, 0.3583640334457387, 0.7238445857701606, 0.6199396938913764, 0.3531045368034297, 0.09573726904929078, 0.7402560057555605]	[3, 1, 3, 2, 3, 3, 5, 2]	[3, 5, 2, 3, 3, 2, 1, 3]
6	"['Angio-oedema', 'Angioedema', 'Edema angioneurotic', ""Quincke's edema"", 'Giant urticaria', 'Hives giant', 'Angioedema and urticaria']"	[-2.94213924751262, -0.1404998463079286, -3.9267604640611, -6.164408069237413, -4.645543195425571, -6.753902478339664, -2.461713677173669]	[-5.228926615442934, -2.651411730224655, -4.620432656392807, -6.912727114256359, -5.797470980015419, -7.325415168093974, -4.4286732991908675]	[0.5626660046869668, 0.052990580341146794, 0.8498685634186345, 0.8917476369816969, 0.8013051227749682, 0.9219822117054133, 0.5558580439029973]	[0.9694024637236955, 1.2129423498378413, 0.19707112206663255, 0.20814012733600257, 0.311631151450102, 0.17440936121492734, 0.7040519309477808]	[1, 1, 3, 3, 3, 3, 1]	[3, 4, 1, 1, 2, 1, 3]
7	['Antisocial personality disorder', 'Antisocial personality', 'Psychopathic personality', 'Sociopathic personality', 'Dissocial personality disorder', 'Psychopath', 'Sociopath', 'Asocial personality']	[-2.1787753247150334, -2.614648397099368, -2.2876302434604354, -2.3235788666284254, -2.141724433339359, -0.9635362149855735, -1.473764883896241, -3.1225284481265256]	[-3.1112211934524745, -3.5700238045575694, -3.6543364622855163, -4.974802504274708, -5.331980675825839, -8.019403667876126, -8.745282375621864, -5.063809704916873]	[0.7002958610915349, 0.7323896254589259, 0.6260042738455704, 0.4670695700245064, 0.40167520543529356, 0.12015060656508368, 0.16852113180524303, 0.6166362146457841]	[0.2570207721796844, 0.26298222542319755, 0.39679400118636604, 1.4335865728492543, 2.4576657122526204, 117.31037643481393, 145.54324387795137, 0.7048551320786622]	[2, 2, 2, 1, 1, 1, 1, 2]	[2, 2, 2, 4, 5, 5, 5, 3]
8	['Painful joints', 'Pain joint', 'Aching joints', 'Pain in joint, site unspecified', 'Arthralgia', 'Arthritic-like pain', 'Discomfort in joints']	[-6.167831331801143, -4.198029050528716, -4.887932183638323, -5.491834926634854, -4.76254571696916, -5.4789719002388075, -3.208531431775869]	[-2.654249546458604, -4.230079908529691, -4.866213891505122, -4.274055522695926, -2.8437375668993883, -3.8552825375250275, -3.8556160808820588]	[2.323757138823095, 0.9924231081459368, 1.0044630779939852, 1.2849236275645748, 1.674748673156189, 1.4211596288753816, 0.8321708812465181]	[0.07530696557318202, 2.6102604331713324, 2.473615508619609, 0.7479790849024025, 0.37105350483468463, 0.4984309466042824, 4.82824858588079]	[5, 4, 4, 5, 5, 5, 3]	[1, 5, 5, 3, 2, 2, 5]
9	['Septic arthritis', 'Pyogenic arthritis', 'Unspecified infective arthritis', 'Purulent arthritis', 'Arthritis infective', 'Pyoarthrosis', 'Unspecified infective arthritis, site unspecified', 'Infectious arthritis']	[-4.158330404094918, -3.4832303799312228, -4.389777619263622, -3.610135301153374, -3.3496159873756186, -7.038250063964879, -5.795291721637816, -2.24265996833625]	[-5.168437319815993, -5.422452458705395, -6.410598587242927, -3.1314237082768255, -5.552358668780589, -6.528449646433678, -6.474245162045663, -4.269599572227371]	[0.8045624135077956, 0.6423717693161372, 0.6847687559160648, 1.1528734650667813, 0.6032780278063813, 1.0780890479579162, 0.8951301003570092, 0.5252623648653534]	[0.9067812425568822, 2.2962127083503785, 2.491437881803871, 0.20460529327299581, 2.988530275226102, 0.19834221548896683, 0.6511550317016694, 2.506728815221944]	[3, 2, 2, 5, 2, 4, 3, 1]	[3, 5, 5, 1, 5, 1, 3, 5]
