	synonyms	scores_gpt	scores_biogpt	un_normalized_score	normalized_score	un_normalized_diff_flat	normalized_diff_flat
0	['Birth defects', 'Congenital anomaly', 'Congenital anomaly, unspecified', 'Developmental disturbance', 'Fetal malformation']	[-2.7860352874009404, -6.578174370820821, -7.2129371992776825, -4.29521261404192, -5.939238884406503]	[-5.891446333049955, -5.782302428926552, -6.27465030556069, -7.496794609928183, -6.720764851826162]	[0.47289496159402883, 1.1376392797984483, 1.149536125206128, 0.5729398813132306, 0.8837147282117298]	[2.645111243725969, 0.05347345775060402, 0.046375461027010664, 2.912127963220393, 0.2589366205100376]	[1, 5, 5, 1, 4]	[5, 1, 1, 5, 2]
1	['Acquired immuno deficiency syndrome', 'Acquired immunodeficiency syndrome', 'AIDS', 'Acquired immune deficiency syndr', 'Autoimmune deficiency syndrome', 'Acquired immune deficiency syndrome', 'Acquired immunodeficiency syndrome, unspecified']	[-5.884525018563619, -5.477871726555756, 4.867923664164664e-08, -5.66591050330787, -3.7765936441995054, -5.221595240351728, -5.93531181973496]	[-8.83812806389841, -7.080179896088803, -6.9670848506310294, -8.183285746320294, -7.0781498070920374, -7.1831390557709485, -6.77987320517225]	[0.6658112414777586, 0.773691037085345, -6.987030829291194e-09, 0.6923759818426981, 0.5335566139636522, 0.7269238698862007, 0.8754310943760736]	[0.0910981199375191, 0.023585739971316196, 5.041298771768717, 0.05889224183334348, 0.1290100468983428, 0.03378030487968776, 0.011055140316446941]	[1, 2, 1, 2, 1, 2, 4]	[1, 1, 5, 1, 1, 1, 1]
2	"['Acrodynia', 'Erythredema polyneuropathy', ""Feer's disease"", 'Swift disease', 'Disease pink', ""Bilderbeck's disease"", 'Swift-Feer disease', ""Selter's disease""]"	[-5.524827969009848, -6.2710569550926225, -6.178701664641006, -4.14425132238754, -4.560069521643152, -6.4016968518344415, -5.915236033290273, -6.823412595297963]	[-7.153640338337899, -10.359313235467706, -7.141823802359449, -6.124617220606513, -9.027663755485138, -7.436910408576604, -6.7261823659279925, -6.442460484426074]	[0.7723099999032806, 0.6053545068626834, 0.8651433913281008, 0.6766547480623026, 0.5051217729362694, 0.8608005878962447, 0.8794343821622155, 1.0591314625511166]	[0.9363546034292662, 10.95376120817502, 0.48121012399610397, 1.3308162881552092, 16.006915379489477, 0.5171823095107504, 0.4132811937659014, 0.12549046434241493]	[2, 1, 3, 2, 1, 3, 4, 5]	[3, 5, 2, 4, 5, 2, 2, 1]
3	['Hyperadrenocorticism', 'Adrenal cortex hyperfunction', 'Hypercorticism adrenal', 'Hypercortisonism', 'Hypercortisolism', 'Hypercortisolemia', 'Adrenal cortical hyperfunctions', 'Hyperadrenalism', 'Hypercorticoidism', 'Hyperadrenalcorticalism', 'Hyperadrenocorticalism']	[-6.562308092023652, -5.992962000714918, -5.938469857712746, -5.565768000014911, -5.652753029167134, -5.0365716130040425, -6.118802676929794, -5.701331405395793, -5.796347137306964, -5.686135918122438, -6.076830190538169]	[-7.880395402271134, -6.756656791295484, -9.548619094319417, -7.617325522646544, -6.068308405689874, -7.286486082166276, -6.866028148241111, -7.043044353288613, -8.67558399135612, -8.476727321125692, -8.187666622021524]	[0.8327384296138733, 0.8869714987500291, 0.6219192324098057, 0.73067220029756, 0.9315203927122262, 0.6912209199618299, 0.8911706367672355, 0.8094981544072866, 0.668121839761119, 0.6707937748512277, 0.7421931633359308]	[0.8279552838228242, 0.475594988818724, 8.192882546808372, 1.7240463918135311, 0.33577027277865407, 2.102297990886895, 0.467826410298959, 0.8477491560836286, 3.9446231064075343, 3.6100006834123484, 1.829335873145454]	[3, 4, 1, 2, 4, 2, 4, 3, 1, 1, 2]	[3, 2, 5, 4, 2, 4, 2, 3, 5, 5, 4]
4	['Alcoholism', 'Alcohol dependence syndrome', 'Alcohol abuse, continuous drinking behaviour', 'Dipsomania', 'Alcohol abuse chronic', 'Alcohol addiction', 'Chronic alcoholism']	[-2.4155046159527873, -4.636121932456342, -5.959891604279862, -4.563744880320706, -4.051319973293412, -2.4950842925485737, -3.7731541897082868]	[-5.497422935501086, -6.270701458588402, -7.214704566244448, -8.968046637402708, -6.449516784093665, -6.303421538808869, -6.698517020325362]	[0.43938853610007284, 0.7393306734618458, 0.8260756278454563, 0.5088895123813094, 0.628158683652877, 0.3958301498934909, 0.5632820187303214]	[1.0668929236054114, 0.25092826465341983, 0.17164021897834048, 4.003360174308784, 0.5384983242777902, 2.2059748967561257, 0.9122831419681734]	[1, 2, 3, 1, 1, 1, 1]	[4, 2, 1, 5, 2, 4, 3]
5	['Anginal discomfort', 'Angina', 'Angina pectoris', 'Anginal pain', 'Stenocardia', 'Anginal syndrome', 'Angina syndrome', 'Ischemic chest pain']	[-7.25876113612108, -3.390729335564217, -5.27689799538304, -6.111396853213293, -6.663939850372894, -7.112775214865718, -6.383822884942588, -5.876740875464306]	[-7.983892901051735, -5.77698501828877, -7.329932429896826, -7.523706079176737, -5.564084903551768, -8.214761723231614, -6.424685127799316, -5.63893133668778]	[0.9091756648144501, 0.5869375331301451, 0.7199108649160243, 0.8122854333887027, 1.1976704104782885, 0.865852894399914, 0.9936398061470874, 1.042172802713397]	[0.5950014749466588, 3.132816760218482, 2.2450129174332893, 1.1829201283096458, 0.09592601072481476, 0.8673292199934219, 0.30015360562537535, 0.22715272321134736]	[4, 1, 2, 3, 5, 3, 5, 5]	[3, 5, 4, 4, 1, 3, 2, 1]
6	"['Angio-oedema', 'Angioedema', 'Edema angioneurotic', ""Quincke's edema"", 'Giant urticaria', 'Hives giant', 'Angioedema and urticaria']"	[-4.882287095333157, -4.964653615061303, -6.642758858991961, -7.656144332428581, -6.09301329581579, -6.778637311386224, -5.659519167790477]	[-6.39025791097591, -5.899235828094196, -6.657222695975869, -8.826833542356821, -7.9414607336874115, -8.985532876075748, -6.71582599176228]	[0.7640203515021419, 0.8415757158610121, 0.9978273466812743, 0.8673715546678749, 0.7672408767280596, 0.7543945812534446, 0.8427137890011619]	[1.4677590006624988, 0.8272470862649511, 0.32963469239611437, 1.0475510875070233, 2.0631075601329565, 2.9525272463465275, 0.9343284496265708]	[2, 3, 5, 3, 2, 2, 3]	[4, 3, 2, 4, 4, 5, 3]
7	['Antisocial personality disorder', 'Antisocial personality', 'Psychopathic personality', 'Sociopathic personality', 'Dissocial personality disorder', 'Psychopath', 'Sociopath', 'Asocial personality']	[-4.290219762636211, -5.0224900700614885, -4.523864055297586, -4.953959170604632, -4.469581698607368, -2.0077193823742348, -3.3878726107666295, -4.974329163467533]	[-5.498007874328358, -6.150336250786426, -5.00170682895736, -6.084656013886768, -6.296160538424138, -8.338776149330215, -8.241577336651618, -6.036890644737479]	[0.7803225933284623, 0.8166204033835186, 0.9044640579705101, 0.8141724296818765, 0.7098900466928146, 0.24076907047510782, 0.41107089970511057, 0.8239886153650622]	[0.29741711449986613, 0.2745665434406743, 0.14333581608777657, 0.2753503566682398, 0.5522088397286918, 49.9313446936051, 11.396393146211851, 0.257214135241057]	[3, 3, 4, 3, 2, 1, 1, 3]	[2, 2, 1, 2, 3, 5, 5, 2]
8	['Painful joints', 'Pain joint', 'Aching joints', 'Pain in joint, site unspecified', 'Arthralgia', 'Arthritic-like pain', 'Discomfort in joints']	[-6.3843247005653625, -5.094212824457072, -5.928612570457168, -7.361140636939115, -5.60996538560326, -5.7546342465368925, -5.618680309167357]	[-6.191415203585649, -7.56125177822462, -7.686885937561211, -7.807566979827625, -8.255544229433028, -7.520163767690214, -7.117503618828455]	[1.0311575771671706, 0.6737261202077299, 0.7712632421781604, 0.9428213239743009, 0.6795391351187201, 0.7652272509358402, 0.78941727466128]	[0.19280867670100058, 2.7563064936486383, 1.356795907688187, 0.36541519391244326, 3.2950832942789323, 1.366676833212699, 1.0467351221678034]	[5, 2, 2, 4, 2, 2, 3]	[1, 5, 4, 2, 5, 4, 4]
9	['Septic arthritis', 'Pyogenic arthritis', 'Unspecified infective arthritis', 'Purulent arthritis', 'Arthritis infective', 'Pyoarthrosis', 'Unspecified infective arthritis, site unspecified', 'Infectious arthritis']	[-4.5610726006299105, -6.45741672648436, -6.530585786746833, -4.8756904441160644, -5.44520452055497, -7.04893878854272, -7.465916057356638, -4.068521290773833]	[-6.061880389257716, -6.236398556133729, -7.448716844992694, -7.391938472792102, -9.583304886332272, -7.658694264218555, -7.91981165175071, -7.1117905297629775]	[0.7524187723519927, 1.0354400329551183, 0.876739701971211, 0.6595956476183177, 0.5681969409447603, 0.9203838859941681, 0.9426885872603123, 0.572081148024115]	[0.7350054479458407, 0.13137449068389456, 0.4104282722470428, 2.0290401980919746, 10.27193284780358, 0.30151675851029985, 0.2580015821127675, 3.4369487370739]	[2, 5, 4, 1, 1, 4, 4, 1]	[3, 1, 2, 4, 5, 2, 2, 5]
